Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0354643,-0.0371985,0.0326169,-0.019495,0.00334686,0.0014447,-0.00208038,0.0323019,-0.0344367,0.00623608,-0.0291879,0.00231415,-0.0119339,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.00335693,-0.020752,0.0396729,0.0384521,0.0204468,0.0241089,0,0,0,0,0,0,-290,-740,-60,0.0595093,0.0106812,0.0238037,0.0204468,0.0152588,0.00305176,2.22046
1,1,0.0287504,-0.0106483,0.0323117,-0.0362797,-0.00489289,0.00754822,0.0018869,0.00941372,-0.0155158,0.0214949,-0.0212533,-0.00806183,-0.0110184,-0.122209,0,0,0,0,0,0,300,-750,-60,0.00671387,0.012207,0.0305176,0.0234985,0.0241089,0.0213623,0,0,0,0,0,0,-290,-740,-60,0.0735474,-0.00579834,0.022583,0.0158691,0.0152588,0,2.20764
1,2,0.0369902,-0.0127845,0.0246823,-0.0216312,0.00487274,-0.0107623,0.0165353,0.0313864,-0.0335212,0.0214949,-0.0233896,0.00384003,-0.0116287,-0.121904,0,0,0,0,0,0,300,-750,-60,0.0234985,0.0271606,0.0335693,0.0238037,0.0216675,0.0222778,0,0,0,0,0,0,-290,-740,-60,0.0167847,0.00793457,0.0140381,0.0167847,0.0186157,0.0167847,2.18353
1,3,0.0449247,-0.0262122,0.0222409,-0.0335331,-0.000620425,0.00937927,0.0122629,0.0130758,-0.0286384,0.0193586,-0.0194223,-0.0166068,-0.0113235,-0.121904,0,0,0,0,0,0,300,-750,-60,-0.0326538,0.0189209,0.0543213,0.0421143,0.0289917,0.043335,27.5507,-16.6196,-23.9499,3044.51,9319.21,-12149.9,99.113,-867.12,-60,0.0692749,-0.0430298,0.0473022,0.0393677,0.00640869,-0.0158691,2.19879
1,4,0.026309,-0.0265174,0.0350583,-0.0268192,-0.00733429,0.00571716,0.0116525,0.0222311,-0.0252814,0.0172224,-0.0255258,-0.00745148,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0119019,0.0323486,0.0259399,0.0198364,0.0192261,0.0274658,0,0,0,0,0,0,-290,-740,-60,0.0643921,-0.00976563,0.0198364,0.00823975,0.0180054,-0.00701904,2.19513
1,5,0.0290556,-0.0329261,0.0161374,-0.0136967,-0.0106912,-0.00923645,-0.00452179,0.035964,-0.0307746,0.0172224,-0.0246103,0.0148264,-0.0113235,-0.122209,-16.8207,-33.6274,-23.401,905.342,3151.35,-13197.2,434.667,-788.688,-60,-0.0415039,-0.0186157,0.0482178,0.0396729,0.0238037,0.0390625,0,0,0,0,0,0,-290,-740,-60,0.0592041,0.00549316,0.0344849,0.0271606,0.0143433,0.000305176,2.21375
1,6,0.031497,-0.0265174,0.0216305,-0.0103397,-0.0158792,0.00754822,-0.000249328,0.0277243,-0.00605536,0.0150862,-0.031019,-0.00775665,-0.0113235,-0.122209,0,0,0,0,0,0,300,-750,-60,0.015564,0.0161743,0.0250244,0.0296021,0.0183105,0.0152588,0,0,0,0,0,0,-290,-740,-60,0.0506592,0.0109863,0.0213623,0.0186157,0.0177002,0.00488281,2.229
1,7,0.024478,-0.0173621,0.0283444,-0.0286503,-0.00672394,0.0163983,-0.00604767,0.0310812,-0.0203986,0.0117292,-0.0221689,0.00353485,-0.0107132,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0311279,0.0341797,0.0344849,0.0289917,0.0210571,0.022583,0,0,0,0,0,0,-290,-740,-60,0.0588989,-0.00732422,0.0180054,0.015564,0.0152588,-0.000305176,2.22687
1,8,0.0214262,-0.0121741,0.0173581,-0.0118656,0.0106711,0.0231122,0.0101266,0.025588,-0.0152106,0.0248518,-0.0212533,0.0160471,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0283813,0.0100708,0.0506592,0.043335,0.0250244,0.0476074,29.6869,-14.8648,-22.7292,1976.4,9868.53,-11089.4,144.179,-826.954,-60,0.0778198,-0.0360107,0.0448608,0.0354004,0.00823975,-0.0201416,2.2229
1,9,0.0290556,-0.0298743,0.0298703,-0.0185795,-0.0134378,-0.00130188,0.00127655,0.0316916,-0.0188727,0.0166121,-0.0157602,0.0108591,-0.0107132,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0250244,0.0479126,0.0332642,0.022583,0.0189209,0.0210571,0,0,0,0,0,0,-290,-740,-60,0.0299072,0.00610352,0.0195313,0.015564,0.0186157,0.0106812,2.21619
