Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0305815,-0.0201087,0.0274289,-0.0207157,0.00945038,0.0215863,-0.0081839,0.0182638,-0.0185676,0.0205793,-0.0185068,0.00902801,-0.0110184,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0305176,0.0247192,0.0180054,0.00976563,0.0140381,0.0167847,0,0,0,0,0,0,-290,-740,-60,0.06073,-0.00823975,0.012207,0.0140381,0.0164795,-0.0088501,1.28967
1,1,0.0409575,-0.0408607,0.0387204,-0.0460453,-0.00824982,-0.00282776,0.0128732,0.013381,-0.026197,0.0224104,-0.0246103,0.00261932,-0.0110184,-0.123125,-20.7117,-31.1097,-19.1286,1820.87,3822.74,-15611.9,499.844,-845.191,-60,-0.0570679,-0.00854492,0.0396729,0.0350952,0.022583,0.0482178,0,0,0,0,0,0,-290,-740,-60,0.0610352,0.00701904,0.0473022,0.0308228,0.010376,0.00549316,1.28937
1,2,0.0388212,-0.0317054,0.0255978,-0.0332279,-0.0149637,0.00113953,0.000971375,0.0271139,-0.0216193,-0.00230885,-0.0114877,0.00200897,-0.0113235,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0570679,0.020752,0.0241089,0.0253296,0.0177002,0.00335693,0,0,0,0,0,0,-290,-740,-60,0.0415039,0.0106812,0.0140381,0.0088501,0.022583,0.00366211,1.28967
1,3,0.0440092,-0.0237708,0.0222409,-0.0255985,-0.0174051,0.00266541,0.00249725,0.0118551,-0.00971746,0.0211897,-0.0218637,0.0053659,-0.0110184,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0192261,0.043335,0.0384521,0.0338745,0.0228882,0.0228882,0,0,0,0,0,0,-290,-740,-60,0.0930786,-0.0314331,0.032959,0.0241089,0.0131226,-0.0222778,1.28387
1,4,0.0272245,-0.0295691,0.0313962,-0.0100346,-0.00916535,0.00754822,0.00371796,0.0313864,-0.0207038,0.0138655,-0.00996184,-0.00836701,-0.0116287,-0.121904,0,0,0,0,0,0,300,-750,-60,0.0152588,0.0375366,0.0317383,0.0296021,0.0189209,0.0274658,0,0,0,0,0,0,-290,-740,-60,0.0494385,-0.0180054,0.0289917,0.0219727,0.015564,-0.00244141,1.28052
1,5,0.0241728,-0.0277381,0.0124753,-0.0191898,-0.00306183,0.00297058,-0.00879425,0.0265036,-0.012464,0.00806713,-0.0145395,-0.00684113,-0.0110184,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0262451,0.0259399,0.0311279,0.027771,0.0192261,0.017395,0,0,0,0,0,0,-290,-740,-60,0.0335693,0.00823975,0.0140381,0.0164795,0.0195313,0.00579834,1.29089
1,6,0.0336332,-0.0198035,0.0109494,-0.0353642,-0.00397736,-0.00496399,0.00860077,0.0271139,-0.0130744,0.0193586,-0.0218637,-0.00226349,-0.0113235,-0.12282,0,0,0,0,0,0,300,-750,-60,-0.0424194,0.00518799,0.0460815,0.0442505,0.0244141,0.0387573,37.0111,-6.62506,-20.2878,-1227.95,9136.11,-20671.9,160.326,-679.473,-60,0.107117,-0.00305176,0.039978,0.0253296,0.00823975,-0.00701904,1.27594
1,7,0.021121,-0.0182776,0.013696,-0.0228519,-0.0170999,-0.00801575,0.0122629,0.0155172,-0.0271125,0.00776196,-0.0142343,-0.00378937,-0.0113235,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0430298,0.0317383,0.0238037,0.022583,0.0198364,0.0112915,0,0,0,0,0,0,-290,-740,-60,0.0402832,0.00732422,0.0161743,0.0177002,0.0189209,0.00427246,1.27075
1,8,0.0287504,-0.0170569,0.0143063,-0.0133915,-0.0128275,0.00083435,0.00310761,0.0283346,-0.02284,0.00745678,-0.0188119,0.0203195,-0.0113235,-0.121904,0,0,0,0,0,0,300,-750,-60,-0.000305176,0.0424194,0.0537109,0.0454712,0.0247192,0.03479,0,0,0,0,0,0,-290,-740,-60,0.0662231,-0.039978,0.038147,0.0354004,0.012207,-0.0088501,1.26129
