Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0256987,-0.0280433,0.0338376,-0.0365849,0.00121063,0.00510681,-0.000249328,0.0106344,-0.0155158,-0.00383472,-0.00233245,0.00475555,-0.0110184,-0.12282,0,0,0,0,0,0,300,-750,-60,0.00396729,0.0262451,0.0454712,0.0405884,0.0289917,0.0283813,0,0,0,0,0,0,-290,-740,-60,0.0646973,-0.00488281,0.0302124,0.0216675,0.0186157,0.00854492,2.35199
1,1,0.0293608,-0.0396399,0.0307858,-0.0292606,-0.018931,-0.0104572,0.0195871,0.00849819,-0.00697088,0.00135326,0.00956941,0.0178781,-0.0122391,-0.122515,0,0,0,0,0,0,300,-750,-60,0.000610352,0.0222778,0.0424194,0.0360107,0.0326538,0.0341797,0,0,0,0,0,0,-290,-740,-60,0.0372314,0.0128174,0.0369263,0.03479,0.0125122,0.0204468,2.33826
1,2,0.0199003,-0.00790167,0.0298703,-0.0436039,-0.0131326,0.00846375,-0.00543732,0.0170431,-0.0152106,-0.00200367,-0.00782561,0.00322967,-0.0113235,-0.12282,0,0,0,0,0,0,300,-750,-60,-0.0366211,0.0378418,0.0454712,0.0341797,0.0265503,0.0592041,0,0,0,0,0,0,-290,-740,-60,0.0613403,-0.0170898,0.0350952,0.0341797,0.0170898,-0.00518799,2.34833
1,3,0.0433989,-0.0243812,0.0249875,-0.00667763,-0.0299173,0.00937927,0.0186716,0.00758266,-0.00513983,0.0156965,-0.00935149,-0.00653595,-0.0116287,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0259399,0.0524902,0.0427246,0.0335693,0.0259399,0.0314331,0,0,0,0,0,0,-290,-740,-60,0.0460815,-0.00274658,0.0302124,0.0256348,0.0170898,0.00854492,2.31842
1,4,0.0495024,-0.0268226,0.0286496,-0.0310917,-0.00397736,0.00724304,-0.0109305,0.00483608,-0.00910711,0.0126448,-0.0105722,0.00475555,-0.0119339,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0115967,-0.000305176,0.0469971,0.043335,0.0195313,0.0338745,0,0,0,0,0,0,-290,-740,-60,0.0790405,0.0134277,0.0402832,0.0320435,0.0137329,0.00549316,2.3526
1,5,0.015933,-0.0204139,0.0274289,-0.0490971,-0.0113016,0.00327576,0.00738007,0.0152121,-0.0197883,0.0120344,-0.0166757,0.00200897,-0.0110184,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0515747,0.0350952,0.0247192,0.0289917,0.0222778,0.0134277,0,0,0,0,0,0,-290,-740,-60,0.0741577,-0.00213623,0.0250244,0.0222778,0.0198364,0.00152588,2.35718
1,6,0.0339384,-0.0472693,0.0197995,-0.0329227,-0.00580841,-0.00404846,0.00371796,0.00392056,-0.0277228,0.0102034,-0.00965667,-0.00897736,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0119019,0.0411987,0.0579834,0.0418091,0.0292969,0.0537109,0,0,0,0,0,0,-290,-740,-60,0.0665283,-0.0341797,0.0463867,0.0390625,0.0149536,-0.012207,2.35291
1,7,0.0296659,-0.0201087,0.0179684,-0.0326176,0.0134177,0.00541199,0.000971375,0.0149069,-0.0139899,0.00318432,-0.010267,0.0029245,-0.0107132,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0460815,0.0341797,0.0247192,0.0234985,0.0183105,0.0183105,0,0,0,0,0,0,-290,-740,-60,0.0393677,0.00854492,0.0253296,0.0317383,0.0222778,0.0100708,2.3526
1,8,0.01929,-0.0423865,0.0283444,-0.029871,-0.00641876,0.00663269,0.0162302,0.0234518,-0.0133796,0.0156965,-0.0142343,0.00139862,-0.010408,-0.121904,-14.1504,-31.7201,-27.9787,3270.45,2846.17,-14704,401.727,-866.891,-60,-0.0308228,-0.0109863,0.057373,0.0512695,0.0259399,0.0369263,36.8585,-5.48066,-16.1679,3235.25,10494.1,-20824.5,359.072,-940.103,-60,0.106506,0.00152588,0.0317383,0.0280762,0.0134277,-0.00579834,2.35504
