Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0293608,-0.0332313,0.0344479,-0.0222416,-0.0204569,0.0102948,0.0189767,0.0234518,-0.0161262,0.0120344,-0.0239999,-0.00348419,-0.010408,-0.121904,0,0,0,0,0,0,300,-750,-60,-0.0268555,0.0219727,0.0509644,0.0402832,0.0274658,0.0494385,35.5615,-19.2136,-21.8137,2663.04,9441.28,-11612,142.815,-862.081,-60,0.101318,-0.0534058,0.0430298,0.0354004,0.00793457,-0.0305176,0.0137329
1,1,0.0260038,-0.0127845,0.0210202,-0.0198002,0.0201315,0.00388611,-0.00391144,0.0323019,-0.026197,0.0071516,-0.0130136,-0.00256867,-0.0110184,-0.121904,0,0,0,0,0,0,300,-750,-60,0.0131226,0.0485229,0.038147,0.0323486,0.020752,0.032959,0,0,0,0,0,0,-290,-740,-60,0.0320435,0.00396729,0.0201416,0.0180054,0.0152588,0.00915527,-0.00823975
1,2,0.0205107,-0.00271368,0.0115597,-0.0268192,-0.0122171,0.0237225,0.000666199,0.025588,-0.0319953,0.0291243,-0.0160654,-0.00684113,-0.0110184,-0.122209,-15.9051,-32.5593,-22.4855,2660.1,2663.07,-12373.2,418.435,-868.303,-60,-0.0378418,-0.0143433,0.0463867,0.0418091,0.0222778,0.0354004,0,0,0,0,0,0,-290,-740,-60,0.0689697,0.00823975,0.0439453,0.0372314,0.0131226,0.00366211,-0.00823975
1,3,0.0247831,-0.0365882,0.0286496,-0.0179691,-0.0180154,0.0130414,0.0183664,0.0240622,-0.0149055,0.0144758,-0.0218637,0.0133005,-0.0116287,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0119019,0.0274658,0.0274658,0.0265503,0.0183105,0.0219727,0,0,0,0,0,0,-290,-740,-60,0.0415039,-0.00762939,0.0274658,0.0238037,0.0152588,0.0100708,-0.00335693
1,4,0.0144072,-0.00637579,0.0292599,-0.0289555,0.000905454,-0.00801575,-0.00909943,0.0277243,-0.0161262,0.00776196,-0.0264413,0.0187936,-0.0119339,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0222778,0.0390625,0.0531006,0.0390625,0.027771,0.0466919,0,0,0,0,0,0,-290,-740,-60,0.06073,-0.00946045,0.03479,0.0241089,0.0128174,-0.010376,0
1,5,0.0214262,-0.0353675,0.010339,-0.00332069,-0.00702912,0.00419128,0.00310761,0.0249777,-0.00880194,0.0166121,-0.0209482,-0.00562042,-0.0110184,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0210571,0.0289917,0.0424194,0.0360107,0.0186157,0.0366211,0,0,0,0,0,0,-290,-740,-60,0.0595093,-0.0195313,0.03479,0.0250244,0.0112915,-0.00823975,-0.00640869
1,6,0.00921917,-0.0219398,0.0222409,-0.0127811,0.00578827,0.00602234,0.0018869,0.0161276,-0.0167365,0.0126448,-0.0114877,0.000177916,-0.0110184,-0.122209,0,0,0,0,0,0,300,-750,-60,0.00518799,0.0540161,0.0335693,0.0305176,0.0222778,0.0265503,0,0,0,0,0,0,-290,-740,-60,0.0424194,-0.00427246,0.0259399,0.0164795,0.0134277,0.00244141,0.00244141
1,7,0.031497,-0.00546026,0.0109494,-0.0252934,-0.0106912,0.0188397,0.00493866,0.0216208,-0.0341315,0.0172224,-0.0194223,-0.00134796,-0.0116287,-0.12282,-17.9651,-37.137,-22.4855,5101.51,2968.25,-9607.53,432.007,-976.88,-60,-0.0460815,-0.0326538,0.0463867,0.0466919,0.0228882,0.0357056,0,0,0,0,0,0,-290,-740,-60,0.0942993,0.0088501,0.0311279,0.0305176,0.0128174,-0.0100708,-0.0192261
1,8,0.0330229,-0.0216346,0.0286496,-0.0255985,-0.013743,0.00388611,0.00860077,0.023757,-0.0207038,0.0181379,-0.0130136,0.00231415,-0.0110184,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0195313,0.0326538,0.0241089,0.0259399,0.0164795,0.0189209,0,0,0,0,0,0,-290,-740,-60,0.0183105,0.0109863,0.0161743,0.0170898,0.0167847,0.0186157,0.00946045
